Date,RF,UPS,KO,Mkt
8/1/2019,0.0016,-0.006779911,0.04579134,-0.0242
7/1/2019,0.0019,0.156870364,0.041650737,0.0138
6/1/2019,0.0018,0.122018241,0.036433906,0.0711
5/1/2019,0.0021,-0.125211831,0.001426832,-0.0673
4/1/2019,0.0021,-0.049400387,0.056087991,0.0417
3/1/2019,0.0019,0.02287235,0.033524475,0.0129
2/1/2019,0.0018,0.045540711,-0.057968067,0.0358
1/1/2019,0.0021,0.080693216,0.016473177,0.0862
12/1/2018,0.0019,-0.147018565,-0.053086962,-0.0936
11/1/2018,0.0018,0.082128798,0.052631691,0.0187
10/1/2018,0.0019,-0.087451832,0.045405215,-0.0749
9/1/2018,0.0015,-0.042692962,0.036347307,0.0021
8/1/2018,0.0016,0.024939497,-0.044177643,0.036
7/1/2018,0.0016,0.128588879,0.072624086,0.0335
6/1/2018,0.0014,-0.077974055,0.020000001,0.0062
5/1/2018,0.0014,0.023083753,-0.0048599,0.0279
4/1/2018,0.0014,0.084463923,0.003717154,0.0043
3/1/2018,0.0012,0.010887771,0.004858797,-0.0223
2/1/2018,0.0011,-0.17994033,-0.09182599,-0.0354
1/1/2018,0.0011,0.068569036,0.037271074,0.0569
12/1/2017,0.0009,-0.01164916,0.010621741,0.0115
11/1/2017,0.0008,0.033353148,-0.004567337,0.032
10/1/2017,0.0009,-0.021317322,0.029679203,0.0234
9/1/2017,0.0009,0.057916205,-0.011855018,0.026
8/1/2017,0.0009,0.036902689,-0.006326417,0.0025
7/1/2017,0.0007,-0.002712746,0.030484694,0.0194
6/1/2017,0.0006,0.051904518,-0.013635286,0.0084
5/1/2017,0.0006,-0.013865678,0.053765948,0.0112
4/1/2017,0.0005,0.001491111,0.025703611,0.0114
3/1/2017,0.0003,0.022344624,0.011439341,0.002
2/1/2017,0.0004,-0.030880361,0.009381604,0.0361
1/1/2017,0.0004,-0.048063675,-0.010238143,0.0198
12/1/2016,0.0003,-0.004108219,0.049692289,0.0185
11/1/2016,0.0001,0.075723832,-0.048349167,0.0487
10/1/2016,0.0002,-0.014630556,0.010075784,-0.02
9/1/2016,0.0002,0.008373973,-0.025558364,0.0027
8/1/2016,0.0002,0.010360964,-0.004584034,0.0052
7/1/2016,0.0002,0.003527532,-0.030121712,0.0397
6/1/2016,0.0002,0.052928782,0.016367823,-0.0003
5/1/2016,0.0001,-0.018844734,-0.00446439,0.0179
4/1/2016,0.0001,-0.003792522,-0.026743221,0.0093
3/1/2016,0.0002,0.101124671,0.075585176,0.0698
2/1/2016,0.0002,0.035944259,0.004893142,-0.0005
1/1/2016,0.0001,-0.031487147,-0.000931283,-0.0576
12/1/2015,0.0001,-0.05926599,0.015707901,-0.0216
